Code,Year,population
BG,2012,7327224
BG,2013,7284552
BG,2014,7245677
BG,2015,7202198
BG,2016,7153784
BG,2017,7101859
BG,2018,7050034
BG,2019,7000039
BG,2020,6951482
BG,2021,6916548
BG,2022,6838937
BG,2023,6447710
BY,2000,10019480
BY,2001,9990435
BY,2002,9950941
BY,2003,9898590
BY,2004,9849062
BY,2005,9800073
BY,2006,9750540
BY,2007,9714461
BY,2008,9689770
BY,2009,9671912
BY,2010,9480178
BY,2011,9481193
BY,2012,9465150
BY,2013,9463840
BY,2014,9468154
BY,2015,9480868
BY,2016,9498364
BY,2017,9504704
BY,2018,9491823
BY,2019,9475174
CH,1977,6284029
CH,1978,6278319
CH,1979,6285156
CH,1980,6303573
CH,1981,6335243
CH,1982,6372904
CH,1983,6409713
CH,1984,6427833
CH,1985,6455896
CH,1986,6484834
CH,1987,6523413
CH,1988,6566799
CH,1989,6619973
CH,1990,6673850
CH,1991,6757188
CH,1992,6842768
CH,1993,6907959
CH,1994,6968570
CH,1995,7019019
CH,1996,7062354
CH,1997,7081346
CH,1998,7096465
CH,1999,7123537
CH,2000,7164444
CH,2001,7204055
CH,2002,7255653
CH,2003,7313853
CH,2004,7364148
CH,2005,7415102
CH,2006,7459128
CH,2007,7508739
CH,2008,7593494
CH,2009,7701856
CH,2010,7785806
CH,2011,7870134
CH,2012,7954662
CH,2013,8039060
CH,2014,8139631
CH,2015,8237666
CH,2016,8327126
CH,2017,8419550
CH,2018,8484130
CH,2019,8544527
CH,2020,8606033
CH,2021,8670300
CH,2022,8738791
CH,2023,8815385
CY,1977,497600
CY,1978,498000
CY,1979,501300
CY,1980,505800
CY,1981,512300
CY,1982,522845
CY,1983,524623
CY,1984,531518
CY,1985,538397
CY,1986,544605
CY,1987,550888
CY,1988,556584
CY,1989,562693
CY,1990,572655
CY,1991,587141
CY,1992,603069
CY,1993,619231
CY,1994,632944
CY,1995,645399
CY,1996,656333
CY,1997,666313
CY,1998,675215
CY,1999,682862
CY,2000,690497
CY,2001,697549
CY,2002,705539
CY,2003,713720
CY,2004,722893
CY,2005,733067
CY,2006,744013
CY,2007,757916
CY,2008,776333
CY,2009,796930
CY,2010,819140
CY,2011,839751
CY,2012,862011
CY,2013,865878
CY,2014,858000
CY,2015,847008
CY,2016,848319
CY,2017,854802
CY,2018,864236
CY,2019,875899
CY,2020,888005
CY,2021,896007
CY,2022,904705
CY,2023,920701
CZ,1977,10158327
CZ,1978,10215183
CZ,1979,10269012
CZ,1980,10315669
CZ,1981,10292717
CZ,1982,10308465
CZ,1983,10321186
CZ,1984,10326526
CZ,1985,10333900
CZ,1986,10340335
CZ,1987,10344119
CZ,1988,10350517
CZ,1989,10360034
CZ,1990,10362102
CZ,1991,10304607
CZ,1992,10312548
CZ,1993,10325697
CZ,1994,10334013
CZ,1995,10333161
CZ,1996,10321344
CZ,1997,10309137
CZ,1998,10299125
CZ,1999,10289621
CZ,2000,10278098
CZ,2001,10232027
CZ,2002,10201182
CZ,2003,10192649
CZ,2004,10195347
CZ,2005,10198855
CZ,2006,10223577
CZ,2007,10254233
CZ,2008,10343422
